,Country,City,Date,Feels Like,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
269,PT,Vila,1603672505,38.28,43.0,95,100,5.01,42.03,-8.16
270,RU,Baykit,1603672506,9.03,15.73,94,100,2.17,61.67,96.37
271,UY,Departamento de Maldonado,1603672309,69.8,73.4,83,0,6.93,-34.67,-54.92
272,ML,San,1603672506,72.18,79.72,17,0,6.8,13.3,-4.9
273,ID,Bambanglipuro,1603672506,85.14,80.42,81,100,9.04,-7.95,110.28
274,IN,Bānda,1603672506,70.65,73.02,43,0,3.98,25.48,80.33
275,GA,Bitam,1603672506,74.86,69.24,98,100,2.39,2.08,11.5
276,NZ,Dunedin,1603672295,40.42,48.0,86,100,11.01,-45.87,170.5
277,PH,Santa,1603672507,86.9,86.0,71,99,17.29,17.49,120.43
278,MX,Venado,1603672507,63.64,70.23,37,0,8.72,22.93,-101.08
279,PH,Santa,1603672507,86.9,86.0,71,99,17.29,17.49,120.43
280,GL,Nanortalik,1603672507,25.12,34.61,89,100,10.42,60.14,-45.24
281,BR,Humaitá,1603672507,83.8,76.05,84,100,0.54,-7.51,-63.02
282,MY,Kapit,1603672507,89.98,81.52,78,59,2.33,2.02,112.93
283,MW,Kasungu,1603672507,65.75,67.35,69,5,6.64,-13.03,33.48
284,TL,Airai,1603672416,78.98,75.81,61,80,1.12,-8.93,125.41
285,US,Tuskegee,1603672508,78.39,72.0,100,63,2.44,32.42,-85.69
286,GB,Portadown,1603672508,36.55,46.99,87,90,14.99,54.42,-6.44
287,BR,Itaituba,1603672508,86.94,80.8,64,1,0.45,-4.28,-55.98
288,CL,Coyhaique,1603672411,42.19,48.2,84,75,8.05,-45.58,-72.07
289,LR,Monrovia,1603672268,84.85,78.71,85,19,6.29,6.3,-10.8
290,RU,Troitsko-Pechorsk,1603672508,15.22,21.78,98,100,2.98,62.71,56.2
291,BR,Comodoro,1603672508,76.14,72.88,84,16,5.82,-13.66,-59.79
292,MG,Beloha,1603672509,67.98,67.17,79,91,4.65,-25.17,45.05
293,US,Sussex,1603672509,39.92,48.2,57,90,5.82,41.18,-74.67
294,AU,Cockburn,1603672509,45.54,55.4,58,0,13.87,-32.08,141.0
295,RU,Iskateley,1603672509,4.12,14.45,96,0,8.5,67.68,53.15
296,SS,Malakal,1603672509,81.28,75.83,80,4,3.15,9.53,31.66
297,KZ,Atasū,1603672509,31.46,43.97,57,100,15.3,48.68,71.64
